station,time,nied
16800,2021-01-01,0.1
16800,2021-01-02,4.2
16800,2021-01-03,-1.0
16800,2021-01-04,-1.0
16800,2021-01-05,5.9
16800,2021-01-06,0.3
16800,2021-01-07,-1.0
16800,2021-01-08,-1.0
16800,2021-01-09,-1.0
16800,2021-01-10,0.0
16800,2021-01-11,-1.0
16800,2021-01-12,0.0
16800,2021-01-13,-1.0
16800,2021-01-14,0.2
16800,2021-01-15,0.0
16800,2021-01-16,0.4
16800,2021-01-17,-1.0
16800,2021-01-18,0.0
16800,2021-01-19,-1.0
16800,2021-01-20,-1.0
16800,2021-01-21,-1.0
16800,2021-01-22,0.0
16800,2021-01-23,9.5
16800,2021-01-24,0.6
16800,2021-01-25,-1.0
16800,2021-01-26,-1.0
16800,2021-01-27,0.0
16800,2021-01-28,0.2
16800,2021-01-29,0.6
16800,2021-01-30,0.1
16800,2021-01-31,0.0
16800,2021-02-01,-1.0
16800,2021-02-02,-1.0
16800,2021-02-03,-1.0
16800,2021-02-04,-1.0
16800,2021-02-05,-1.0
16800,2021-02-06,-1.0
16800,2021-02-07,3.0
16800,2021-02-08,6.2
16800,2021-02-09,6.1
16800,2021-02-10,0.8
16800,2021-02-11,0.0
16800,2021-02-12,-1.0
16800,2021-02-13,-1.0
16800,2021-02-14,-1.0
16800,2021-02-15,0.0
16800,2021-02-16,-1.0
16800,2021-02-17,-1.0
16800,2021-02-18,-1.0
16800,2021-02-19,-1.0
16800,2021-02-20,0.0
16800,2021-02-21,0.0
16800,2021-02-22,-1.0
16800,2021-02-23,-1.0
16800,2021-02-24,-1.0
16800,2021-02-25,-1.0
16800,2021-02-26,-1.0
16800,2021-02-27,-1.0
16800,2021-02-28,-1.0
16800,2021-03-01,-1.0
16800,2021-03-02,-1.0
16800,2021-03-03,-1.0
16800,2021-03-04,-1.0
16800,2021-03-05,0.0
16800,2021-03-06,-1.0
16800,2021-03-07,-1.0
16800,2021-03-08,-1.0
16800,2021-03-09,-1.0
16800,2021-03-10,0.0
16800,2021-03-11,0.0
16800,2021-03-12,3.4
16800,2021-03-13,1.5
16800,2021-03-14,0.8
16800,2021-03-15,-1.0
16800,2021-03-16,0.0
16800,2021-03-17,0.0
16800,2021-03-18,-1.0
16800,2021-03-19,6.5
16800,2021-03-20,-1.0
16800,2021-03-21,0.0
16800,2021-03-22,0.5
16800,2021-03-23,-1.0
16800,2021-03-24,-1.0
16800,2021-03-25,-1.0
16800,2021-03-26,-1.0
16800,2021-03-27,1.4
16800,2021-03-28,-1.0
16800,2021-03-29,-1.0
